"","text","sentiment"
"1","rt farwzz im so over summer pls give me halloween movies and sweater weather","Neutral"
"2","what an awful summer weather wise","Neutral"
"3","rt kinkynorfolk i cant wait for summer to arriveive had enough of this miserable weathernfacesitting bikini ass httpstcomeiky","Very Negative"
"4","rt claudiaxgarcia how many floridians completely forgot it was hurricane season and figured the weather was just another florida summer","Neutral"
"5","rt lynnleerodgers1 two months till pumpkin spice lattes cooler weather and pretty leaves but i still love summer ","Very Positive"
"6","dont see this much in nevada summer weather monsoon httpstcocaevbv1nq5","Negative"
"7","wearing almost all to all black is a death wish for san antoniotexas summer weather yet i still do it","Negative"
"8","summer is half overa good time to make sure youre doing all you can to prevent sunburnnhttpstcoej1u3mz0ax","Neutral"
"9","are you struggling to sleep in the hot weather httpstcoisqznkemts sleep summer heatwave","Negative"
"10","the weather this summer has constantly been a disappointment","Negative"
"11","since i can back from mexico on monday the weather here has been shit  what happened to summer  its august ","Neutral"
"12","summer would you come back please weather like this is getting me excited for christmas and its too early ","Very Positive"
"13","rt hooveruk struggling to keep your home cool in the hot weather nnsummer lifestyle tips httpstcoro4snknssa","Neutral"
"14","struggling to keep your home cool in the hot weather nnsummer lifestyle tips httpstcoro4snknssa","Neutral"
"15","another pilgrim summer party this weekend we heard the weather is going to be bright will you be attending with t httpstco6ikiawqjbe","Positive"
"16","chicago weather massively delaying summer flights is a very chicago thing","Very Negative"
"17","rt albanyschools students in the summer arts enrichment program are ready to perform seussical tonight aug 3 at 7 pm at ash https","Positive"
"18","san diego has no fall weather its just a continuation of summer haha","Negative"
"19","55 degrees best weather weve had all summer","Positive"
"20","sunny like the weather summer summercolors yellow bright lemon icecream cremebrulee httpstcow9ompunnfy","Very Positive"
"21","yesterdays moody summers evening the weather seems to have picked up a little today but i httpstcojpdf8xxxwm","Very Negative"
"22","rt jeaxel16 i love summer and all but all the stores have started bringing out their fall clothes and im ready for sweater weather ","Positive"
"23","summer weather in the bay   berkeley california httpstcodmxqj2mljj","Neutral"
"24","idk but the weather lately has not been summer weather where the warm summer nights at ","Neutral"
"25","evesdadisbest yes the weather is wonderful but its not until now we got summer it has been a cold summer totally","Neutral"
"26","rt thechuckmn i love summer and i love the heat but im also kind of enjoying this wet chilly weather today mnweather","Very Positive"
"27","imagine having worked out bare for a summer body only to  flex for a week in zante and experience this nasty weather everyday ","Neutral"
"28","55s during the summer colorado weather does what it wants when it wants to","Neutral"
"29","rt nomdcn ive had enough of this weather summer is canceled","Neutral"
